品名,一级目录,二级目录,三级目录,四级目录,品牌,价格,单位,商品型号,订货编码,规格参数
EVERPOWER/艾威博尔 12件套家用组套工具 450104 1套,手工具,工具组套,组套工具箱,通用类组套工具吹塑箱,EVERPOWER/艾威博尔,133.2,套,450104,UG1503,件数:12 包装:吹塑盒 长度:310mm 宽度:70mm 高度:270mm
STANLEY/史丹利 EVA工具托组套-10件敲击系列 STANLEY-90-040-23 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,242.4,套,STANLEY-90-040-23,HN9504,件数:10 包装:工具托
SHEFFIELD/钢盾 工具托-卡簧钳组合（4件） S025030 4件 1套,手工具,工具组套,组套工具托,钢盾工具托组套,SHEFFIELD/钢盾,210.9,套,S025030,AE8036,件数:4 包装:塑托盘
STANLEY/史丹利 工具托-12.5MM系列公制工具组套（28件） LT-024-23 28件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,639.0,套,LT-024-23,AF1378,件数:28 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
OK-TOOLS/卡夫威尔 94件套电钻套装 P1044A 600W 13mm电钻 1套,手工具,工具组套,组套工具箱,通用类组套工具吹塑箱,OK-TOOLS/卡夫威尔,499.0,套,P1044A,XE4008,件数:94 包装:吹塑盒 长度: 宽度: 高度:
YATO/易尔拓 工具托-12.5MM系列六角长套筒托盘组套（14件） YT-5539 14件 391×180mm 1套,手工具,工具组套,组套工具托,易尔拓工具托组套,YATO/易尔拓,192.9,套,YT-5539,AF3422,件数:14 包装:塑托盘 长度:391mm 宽度:180mm 高度:50mm
PROSKIT/宝工 消费性电子产品维修工具组 SD-9326M 45件 专用于手机游戏机电脑 1套,手工具,工具组套,组套工具盒,电子类组套工具塑盒,PROSKIT/宝工,221.9,套,SD-9326M,AT7497,件数:45 包装:透明盖塑盒
STANLEY/史丹利 电讯工具组套（22件） 92-005-1-23 22件 尼龙腰包 1套,手工具,工具组套,组套工具包,电讯类组套工具包,STANLEY/史丹利,456.9,套,92-005-1-23,AF0807,件数:22 包装:尼龙腰包
SHEFFIELD/钢盾 工具托-双梅花扳手组合（11件） S025025 11件 1套,手工具,工具组套,组套工具托,钢盾工具托组套,SHEFFIELD/钢盾,289.9,套,S025025,AE8031,件数:11 包装:塑托盘
YATO/易尔拓 工具托-三色柄钳子托盘组套（4件） YT-5534 4件 391×180mm 1套,手工具,工具组套,组套工具托,易尔拓工具托组套,YATO/易尔拓,174.4,套,YT-5534,AF3417,件数:4 包装:塑托盘 长度:391mm 宽度:180mm 高度:50mm
TENGTOOLS/瑞典天魔 127件专业工具组 TM127 1套,手工具,工具组套,组套工具盒,通用类组套工具塑盒,TENGTOOLS/瑞典天魔,3298.0,套,TM127,NT9127,件数:127 包装:托盘 长度:466mm 宽度:258mm 高度:105mm
